Date,Location,Crime
1985-01-01,Nelson,2809.9706665273316
1985-02-01,Nelson,2794.2187440623434
1985-03-01,Nelson,2775.5035184013154
1985-04-01,Nelson,2754.5842753404
1985-05-01,Nelson,2732.2203006757254
1985-06-01,Nelson,2709.1708802036082
1985-07-01,Nelson,2686.195299720179
1985-08-01,Nelson,2664.05284502157
1985-09-01,Nelson,2643.5028019040974
1985-10-01,Nelson,2625.3044561638867
1985-11-01,Nelson,2610.217093597096
1985-12-01,Nelson,2599.0
1986-01-01,Nelson,2592.194489012331
1986-02-01,Nelson,2589.4699856482134
1986-03-01,Nelson,2590.2779427653777
1986-04-01,Nelson,2594.0698132215257
1986-05-01,Nelson,2600.2970498743925
1986-06-01,Nelson,2608.4111055816575
1986-07-01,Nelson,2617.86343320105
1986-08-01,Nelson,2628.105485590315
1986-09-01,Nelson,2638.588715607109
1986-10-01,Nelson,2648.764576109174
1986-11-01,Nelson,2658.0845199542505
1986-12-01,Nelson,2666.0
1987-01-01,Nelson,2672.1362153863342
1987-02-01,Nelson,2676.8133503818244
1987-03-01,Nelson,2680.5253355371738
1987-04-01,Nelson,2683.7661014031255
1987-05-01,Nelson,2687.029578530417
1987-06-01,Nelson,2690.8096974697614
1987-07-01,Nelson,2695.600388771895
1987-08-01,Nelson,2701.8955829875654
1987-09-01,Nelson,2710.1892106674686
1987-10-01,Nelson,2720.9752023623478
1987-11-01,Nelson,2734.7474886229734
1987-12-01,Nelson,2752.0
1988-01-01,Nelson,2773.0679411089623
1988-02-01,Nelson,2797.6516128245275
1988-03-01,Nelson,2825.2925900859277
1988-04-01,Nelson,2855.5324478325947
1988-05-01,Nelson,2887.9127610039873
1988-06-01,Nelson,2921.975104539296
1988-07-01,Nelson,2957.261053377975
1988-08-01,Nelson,2993.3121824594914
1988-09-01,Nelson,3029.670066723016
1988-10-01,Nelson,3065.876281108015
1988-11-01,Nelson,3101.4724005539515
1988-12-01,Nelson,3136.0
1989-01-01,Nelson,3168.972807214736
1989-02-01,Nelson,3199.793161283155
1989-03-01,Nelson,3227.835554119115
1989-04-01,Nelson,3252.4744776367284
1989-05-01,Nelson,3273.08442375007
1989-06-01,Nelson,3289.039884373054
1989-07-01,Nelson,3299.7153514197657
