Time Frame,Location Id,Location,Median Rent,Crime
1995/3/1,1,Northland,130,3268.308891
1995/3/1,2,Auckland,220,9397.37588
1995/3/1,3,Waikato,140,6031.13593
1995/3/1,4,Bay of Plenty,150,4602.553927
1995/3/1,5,Gisborne,140,5199.994828
1995/3/1,7,Taranaki,135,3619.831202
1995/3/1,8,Manawatu-Whanganui,130,3770.992312
1995/3/1,9,Wellington,180,4001.720965
1995/3/1,12,West Coast,120,2961.690183
1995/3/1,13,Canterbury,160,7652.946052
1995/3/1,14,Otago,150,3924.295049
1995/3/1,15,Southland,115,2801.091851
1995/3/1,17,Nelson,155,2961.690183
1995/4/1,1,Northland,135,3305.475457
1995/4/1,2,Auckland,230,9407.568482
1995/4/1,3,Waikato,145,6056.884581
1995/4/1,4,Bay of Plenty,155,4566.47237
1995/4/1,5,Gisborne,145,5170.940976
1995/4/1,7,Taranaki,140,3643.594788
1995/4/1,8,Manawatu-Whanganui,130,3782.492672
1995/4/1,9,Wellington,180,3992.470007
1995/4/1,12,West Coast,120,2967.328525
1995/4/1,13,Canterbury,160,7631.679757
1995/4/1,14,Otago,145,3915.810773
1995/4/1,15,Southland,110,2804.498867
1995/4/1,17,Nelson,170,2967.328525
1995/5/1,1,Northland,135,3342.961407
1995/5/1,2,Auckland,230,9413.744728
1995/5/1,3,Waikato,140,6089.629186
1995/5/1,4,Bay of Plenty,150,4530.833774
1995/5/1,5,Gisborne,140,5144.335924
1995/5/1,7,Taranaki,130,3666.883337
1995/5/1,8,Manawatu-Whanganui,140,3794.293704
1995/5/1,9,Wellington,175,3983.892167
1995/5/1,12,West Coast,120,2973.22443
1995/5/1,13,Canterbury,160,7609.880975
1995/5/1,14,Otago,150,3906.490633
1995/5/1,15,Southland,110,2808.097205
1995/5/1,17,Nelson,155,2973.22443
1995/6/1,1,Northland,130,3379.739291
1995/6/1,2,Auckland,230,9416.874614
1995/6/1,3,Waikato,145,6127.956314
1995/6/1,4,Bay of Plenty,160,4496.783776
1995/6/1,5,Gisborne,137,5121.064588
1995/6/1,7,Taranaki,135,3689.665871
1995/6/1,8,Manawatu-Whanganui,135,3805.724936
1995/6/1,9,Wellington,180,3976.5387
1995/6/1,12,West Coast,110,2979.309951
1995/6/1,13,Canterbury,155,7588.104708
1995/6/1,14,Otago,150,3896.407896
1995/6/1,15,Southland,120,2811.68874
1995/6/1,17,Nelson,165,2979.309951
1995/7/1,1,Northland,135,3414.781659
1995/7/1,2,Auckland,230,9417.928131
1995/7/1,3,Waikato,140,6170.452537
1995/7/1,4,Bay of Plenty,160,4465.468014
1995/7/1,5,Gisborne,145,5102.011887
1995/7/1,7,Taranaki,140,3711.911412
1995/7/1,8,Manawatu-Whanganui,135,3816.115893
1995/7/1,9,Wellington,180,3970.96086
1995/7/1,12,West Coast,120,2985.517141
1995/7/1,13,Canterbury,160,7566.905958
1995/7/1,14,Otago,150,3885.635832
1995/7/1,15,Southland,110,2815.075344
1995/7/1,17,Nelson,160,2985.517141
1995/8/1,1,Northland,140,3447.061061
1995/8/1,2,Auckland,240,9417.875276
1995/8/1,3,Waikato,145,6215.704422
1995/8/1,4,Bay of Plenty,160,4438.032122
1995/8/1,5,Gisborne,145,5088.062736
1995/8/1,7,Taranaki,140,3733.588982
1995/8/1,8,Manawatu-Whanganui,135,3824.796103
1995/8/1,9,Wellington,180,3967.709904
1995/8/1,12,West Coast,120,2991.778054
1995/8/1,13,Canterbury,160,7546.839725
1995/8/1,14,Otago,140,3874.247708
1995/8/1,15,Southland,120,2818.058893
1995/8/1,17,Nelson,160,2991.778054
1995/9/1,1,Northland,130,3475.550046
1995/9/1,2,Auckland,240,9417.686041
1995/9/1,3,Waikato,150,6262.298542
1995/9/1,4,Bay of Plenty,160,4415.621738
1995/9/1,5,Gisborne,140,5080.102055
1995/9/1,7,Taranaki,140,3754.667604
1995/9/1,8,Manawatu-Whanganui,135,3831.095092
1995/9/1,9,Wellington,180,3967.337085
1995/9/1,12,West Coast,120,2998.024743
1995/9/1,13,Canterbury,160,7528.461011
1995/9/1,14,Otago,145,3862.316795
1995/9/1,15,Southland,115,2820.441259
1995/9/1,17,Nelson,160,2998.024743
1995/10/1,1,Northland,130,3499.221164
1995/10/1,2,Auckland,240,9418.330421
1995/10/1,3,Waikato,145,6308.821465
1995/10/1,4,Bay of Plenty,160,4399.382499
1995/10/1,5,Gisborne,150,5079.01476
1995/10/1,7,Taranaki,135,3775.1163
1995/10/1,8,Manawatu-Whanganui,135,3834.342387
1995/10/1,9,Wellington,180,3970.393658
1995/10/1,12,West Coast,128,3004.189262
1995/10/1,13,Canterbury,165,7512.324818
1995/10/1,14,Otago,148,3849.91636
1995/10/1,15,Southland,120,2822.024316
1995/10/1,17,Nelson,160,3004.189262
1995/11/1,1,Northland,140,3517.046966
1995/11/1,2,Auckland,250,9420.778409
1995/11/1,3,Waikato,150,6353.859761
1995/11/1,4,Bay of Plenty,155,4390.460041
1995/11/1,5,Gisborne,150,5085.685769
1995/11/1,7,Taranaki,140,3794.904091
1995/11/1,8,Manawatu-Whanganui,140,3833.867514
1995/11/1,9,Wellington,180,3977.430878
1995/11/1,12,West Coast,125,3010.203663
1995/11/1,13,Canterbury,160,7498.986147
1995/11/1,14,Otago,150,3837.119672
1995/11/1,15,Southland,115,2822.609939
1995/11/1,17,Nelson,160,3010.203663
1995/12/1,1,Northland,140,3528
1995/12/1,2,Auckland,250,9426
1995/12/1,3,Waikato,155,6396
1995/12/1,4,Bay of Plenty,165,4390
1995/12/1,5,Gisborne,145,5101
1995/12/1,7,Taranaki,140,3814
1995/12/1,8,Manawatu-Whanganui,140,3829
1995/12/1,9,Wellington,190,3989
1995/12/1,12,West Coast,120,3016
1995/12/1,13,Canterbury,170,7489
1995/12/1,14,Otago,150,3824
1995/12/1,15,Southland,120,2822
1995/12/1,17,Nelson,165,3016
1996/1/1,1,Northland,140,3531.388252
1996/1/1,2,Auckland,250,9434.536323
1996/1/1,3,Waikato,140,6433.96177
1996/1/1,4,Bay of Plenty,165,4398.628592
1996/1/1,5,Gisborne,145,5125.368381
1996/1/1,7,Taranaki,140,3832.300185
1996/1/1,8,Manawatu-Whanganui,140,3819.282386
1996/1/1,9,Wellington,180,4005.343266
1996/1/1,12,West Coast,120,3021.495966
1996/1/1,13,Canterbury,170,7482.706862
1996/1/1,14,Otago,190,3810.624223
1996/1/1,15,Southland,110,2820.033232
1996/1/1,17,Nelson,160,3021.495966
1996/2/1,1,Northland,140,3527.861445
1996/2/1,2,Auckland,250,9445.21305
1996/2/1,3,Waikato,150,6466.996728
1996/2/1,4,Bay of Plenty,160,4414.894349
1996/2/1,5,Gisborne,150,5157.305889
1996/2/1,7,Taranaki,140,3849.409352
1996/2/1,8,Manawatu-Whanganui,145,3805.109269
